"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6315","greenhazexzamaldelica-semillas-regulares","Green Haze #19 x Zamaldelica I+D Regular","5000","GreenHazexZamaldelica_regular_seeds","https://www.aceseeds.org/semillas/greenhazexzamaldelica-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","2880","guawi-semillas-feminizadas","Guawi Feminizada","1500","Guawi_feminized_seeds","https://www.aceseeds.org/semillas/guawi-semillas-feminizadas/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","34172","hangkrarok-champion-semillas-regulares","Hangkrarok Champion Seeds Regular","3000","Hangkrarok-Champion-regular-seeds","https://www.aceseeds.org/semillas/hangkrarok-champion-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","34196","hangkrarok-cola-gorda-semillas-regulares","Hangkrarok Cola Gorda Regular","","","https://www.aceseeds.org/semillas/hangkrarok-cola-gorda-semillas-regulares/","","","2025-10-08T19:34:32"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","34183","hangkrarok-gigante-semillas-regulares","Hangkrarok Gigante Regular","","","https://www.aceseeds.org/semillas/hangkrarok-gigante-semillas-regulares/","","","2025-10-03T08:47:00"
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","34147","hangkrarok-manao-semillas-regulares","Hangkrarok Manao Regular","","","https://www.aceseeds.org/semillas/hangkrarok-manao-semillas-regulares/","","","2025-10-03T10:42:16"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","6267","hashplanthazexmalawi-semillas-regulares","HashPlant Haze x Malawi I+D Regular","6500","HashPlantHazexMalawi_regular_seeds","https://www.aceseeds.org/semillas/hashplanthazexmalawi-semillas-regulares/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","31605","hashtonic-feminizada-copia","6 HashTonic Feminizada","","","https://www.aceseeds.org/semillas/hashtonic-feminizada-copia/","","","2025-06-28T08:41:44"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","31549","hashtonic-regular-copia","12 HashTonic Regular","50000","HashTonic_regular_seeds-1","https://www.aceseeds.org/semillas/hashtonic-regular-copia/","","",""
"aceseeds.org","https://aceseeds.org/wp-json/wp/v2/product","wp_product","6621","hashtonic-semillas-feminizadas","HashTonic Feminizada","","","https://www.aceseeds.org/semillas/hashtonic-semillas-feminizadas/","","","2025-10-08T18:33:59"
